Fold,Session_MAE,Session_Max_AE,Session_Miscal_Area,Session_Sharpness,Session_Bias,Session_Var
0,1.2914275624449827,6.081664794921863,0.17284677763551,3.8550628332410994,141.86510719490138,145.85012908862115
1,1.0655328106840778,5.018442321777343,0.184826780198681,3.243589781354159,73.00233203220817,73.68531223274718
2,0.7215121086376627,2.9321299560546805,0.2714907463900752,3.5405858492893847,511.6030750266521,516.8004853467742
3,1.2495132399637987,13.92807763671874,0.18090458727401398,3.5988842774390393,53.78694637048815,53.116938573734004
4,0.7727265790201824,4.546512060546874,0.2683986531986532,3.470604025509571,598.2144210323951,587.786410281013
5,0.6412045323240686,2.604872092222564,0.284619622801441,3.3489570566546534,407.79616359581263,408.4948104485696
6,0.8846133146103117,7.960485363769536,0.22914625709146255,3.060786356153366,364.39079055121016,373.8031350807342
7,0.9168918613381583,7.27653345947266,0.19875743738757432,3.153377311459719,478.9097516487907,487.6503366776397
8,1.907314748633467,6.077955541992196,0.12184936614466813,4.126320864329444,211.0147154535495,191.88276253651333
9,0.9316015919037981,5.444908386230466,0.12273095922730957,2.3307561011078377,117.19896181007283,109.76708664645011
10,0.8238752150726321,5.940427111816405,0.22495959595959594,3.090093351697814,373.7465702229606,382.9826026213712
11,1.2440643460822833,41.171419067382814,0.13631087041211004,2.608874749546068,199.9529817273095,206.9282706810088
12,1.1881811057932772,8.262818651734676,0.16346983346983343,3.4720321584479334,464.59514269321056,465.2559591776147
13,0.6348629039189584,3.8164532592773375,0.2656067524560675,3.210160912073198,535.7380293774448,534.0047869779586
14,2.1286241097701226,9.58716662597655,0.030632350020789473,3.306161881326402,221.14437526410916,209.49463455327464
15,2.262467317793105,36.60341607666015,0.12097970445192664,3.6404327899055042,318.40196703756493,297.56607286863687
16,0.7687219846888947,4.895837084960931,0.205979797979798,2.863765094460755,449.85294885525917,445.79972642333627
17,1.2684730475254073,18.14262031106388,0.17418876508175402,3.5598302839742804,911.1420477888552,904.3188344546509
18,0.5507035070800785,2.1406674804687498,0.20271515151515146,2.284764116084294,13.739496969655235,12.79974340018156
19,1.300816211662669,7.517002990722659,0.11313925920279322,2.8209380848724592,158.18120556947878,144.78350581739716
20,1.12906590422517,5.507264697265612,0.18463233735961004,3.316157351694771,327.6168765927512,312.0157440849087
21,1.846391508720291,14.415463256835936,0.03699768275649455,2.4821411100494166,99.95265868091381,91.79581126290859
