Fold,Session_MAE,Session_Max_AE,Session_Miscal_Area,Session_Sharpness,Session_Bias,Session_Var
0,1.9874962095590956,15.388262067522334,0.04052558671913508,2.7885102625751155,220.11285956589805,222.1419142184844
1,1.5270801127819031,16.36827523367745,0.12312380398711331,3.008558131511751,317.87608684684056,301.98655923290585
2,2.1677541324407303,9.129443577357703,0.06760424760424766,2.296894670755785,154.52594423598813,174.29932042112995
3,1.5205481852220961,14.488631753360522,0.05064912541537598,2.330089255997229,498.368186256857,509.46276066303835
4,1.7476523184388508,36.28690935217816,0.012251649355377637,2.175104945247244,327.05464060421644,338.3172032792555
5,2.7336450525957456,12.259191448768874,0.09064748201438852,2.638780376469853,620.0187504836119,584.7578590340876
6,1.5081279594569383,6.170156125669124,0.006599234174188125,2.094738587680441,318.96819222850525,315.6828784423163
7,2.302194282530941,11.081802368164062,0.04207070707070711,2.6242260721594217,191.3403410811734,187.7508617795373
8,1.8381686775910338,13.743064880371094,0.030991177849979932,2.6204323742618665,458.2611314143282,458.48792991251713
9,1.3889163795017816,10.053863525390623,0.03566663769522109,2.1057168629502496,416.49370679732584,412.41348827229683
10,1.1988961212570206,9.267816995029008,0.09731947775113241,2.222181308202811,573.9458562875915,582.2136612697132
11,1.4100404266873674,12.023941040039062,0.11968919968919967,2.782953171740494,94.47777296695114,91.02886886613872
12,1.0255316101333665,4.4727997041084535,0.11772597772597769,2.134983063321332,353.8081125956686,351.85446600243466
13,1.9371431531760446,22.76071506076389,0.019473390984182395,2.348289025930182,434.29449367033186,423.5799057899911
14,1.7242706896547202,9.739574085582376,0.02669104526832457,2.504939303494469,794.0573128963388,800.4861203899835
15,1.3071966060729416,13.7177100606484,0.052112491824722,2.219484562653174,222.22851933922064,226.46354096520912
16,1.2915774811071168,7.020625902258843,0.08687934500884138,2.3035386266394013,264.3261404429465,258.1809528987969
17,1.3885606615307207,27.754378246275664,0.05657541115122339,2.2227113585730844,287.04641480083933,289.4894048200371
18,1.573989864583735,18.281292559152632,0.042037956819675065,2.342956647248459,321.888476343493,321.7333680188851
19,1.4997528079965303,27.041103578963373,0.04536324408773385,2.175078850778368,74.47524026204069,78.98803536748771
20,1.0775013337325403,5.826053272594095,0.08345247345247342,1.9373406861886484,160.5646233398448,156.6429702341819
21,1.5941109679666452,14.434351578499502,0.019615520447835297,2.297784646916339,812.3836427798782,812.2921595221427
22,2.213032227083129,29.94711649769592,0.03400187148574244,2.6567121238763174,463.04185435083065,436.75049796555015
23,1.6752482910579984,35.850780321204155,0.05440336532357786,2.5159251319438303,171.86101820125987,178.20873441159512
